order,x,y,w,h,yolo_confidence,crop_original_shape,crop_final_shape,dtype,min,max,mean,classifier_class,classifier_confidence,became_unknown,valid_segment,max_iou_with_later_box,visual_observation
24,1257,709,23,44,0.7300664186477661,"[48, 27, 3]","[28, 28]",uint8,0,255,47.81122448979592,ま,0.9995391368865967,False,True,0.0,possivelmente_cortado
25,1262,803,19,34,0.6882718205451965,"[38, 23, 3]","[28, 28]",uint8,0,255,53.26147959183673,ま,0.9500864744186401,False,True,0.0,possivelmente_cortado
26,1188,187,42,37,0.9363088011741638,"[41, 46, 3]","[28, 28]",uint8,0,255,54.78061224489796,ふ,0.8212038278579712,False,True,0.0,possivelmente_cortado
27,1204,233,10,34,0.7254714965820312,"[38, 14, 3]","[28, 28]",uint8,0,255,29.323979591836736,か,0.6146426200866699,False,True,0.0056179775280898875,possivelmente_cortado
28,1199,266,25,58,0.9067102074623108,"[62, 29, 3]","[28, 28]",uint8,0,255,39.37372448979592,き,0.994629442691803,False,True,0.0,possivelmente_cortado
29,1192,329,32,44,0.9023838639259338,"[48, 36, 3]","[28, 28]",uint8,0,255,62.97831632653061,?,0.4204692840576172,True,True,0.0,possivelmente_cortado
30,1193,377,41,37,0.9309189319610596,"[41, 45, 3]","[28, 28]",uint8,0,255,62.86224489795919,?,0.3533581793308258,True,True,0.0,possivelmente_cortado
31,1202,424,21,49,0.7822567820549011,"[53, 25, 3]","[28, 28]",uint8,0,255,43.35331632653061,な,0.8270485401153564,False,True,0.0,possivelmente_cortado
32,1209,475,7,40,0.7023947238922119,"[44, 11, 3]","[28, 28]",uint8,0,255,26.040816326530614,ら,0.943120002746582,False,True,0.0,possivelmente_cortado
33,1197,521,32,41,0.9274039268493652,"[45, 36, 3]","[28, 28]",uint8,0,255,67.74107142857143,ひ,0.9905767440795898,False,True,0.0,possivelmente_cortado
34,1194,567,41,42,0.9374493360519409,"[46, 45, 3]","[28, 28]",uint8,0,255,83.66326530612245,?,0.31608667969703674,True,True,0.0,possivelmente_cortado
35,1196,617,31,39,0.9144330024719238,"[43, 35, 3]","[28, 28]",uint8,0,255,63.077806122448976,す,0.6526044011116028,False,True,0.0,possivelmente_cortado
36,1197,662,30,43,0.8844600319862366,"[47, 34, 3]","[28, 28]",uint8,0,255,50.00255102040816,ま,0.5767592787742615,False,True,0.0,possivelmente_cortado
37,1196,710,34,44,0.8887944221496582,"[48, 38, 3]","[28, 28]",uint8,0,255,70.7295918367347,?,0.16519148647785187,True,True,0.0,possivelmente_cortado
38,1200,766,28,21,0.8768594264984131,"[25, 32, 3]","[28, 28]",uint8,0,255,50.29974489795919,は,0.9950658082962036,False,True,0.0,possivelmente_cortado
39,1192,805,41,46,0.9110147953033447,"[50, 45, 3]","[28, 28]",uint8,0,255,83.03571428571429,?,0.23972050845623016,True,True,0.0,possivelmente_cortado
40,1198,855,25,45,0.8572973012924194,"[49, 29, 3]","[28, 28]",uint8,0,255,60.19770408163265,ま,0.6791435480117798,False,True,0.0,possivelmente_cortado
41,1135,182,32,46,0.9345282912254333,"[50, 36, 3]","[28, 28]",uint8,0,255,57.14668367346939,?,0.48796090483665466,True,True,0.0,possivelmente_cortado
42,1141,237,17,36,0.9084159135818481,"[40, 21, 3]","[28, 28]",uint8,0,255,37.329081632653065,は,0.9889667630195618,False,True,0.0,possivelmente_cortado
43,1131,282,38,40,0.938403844833374,"[44, 42, 3]","[28, 28]",uint8,0,255,88.98852040816327,?,0.2928675711154938,True,True,0.0,possivelmente_cortado
44,1128,330,43,34,0.9245704412460327,"[38, 47, 3]","[28, 28]",uint8,0,255,54.86352040816327,に,0.994594395160675,False,True,0.0,possivelmente_cortado
45,1140,374,22,38,0.8863480687141418,"[42, 26, 3]","[28, 28]",uint8,0,255,51.84311224489796,な,0.7120477557182312,False,True,0.0,possivelmente_cortado
46,1136,472,31,42,0.9198412299156189,"[46, 35, 3]","[28, 28]",uint8,0,255,47.580357142857146,?,0.4168194532394409,True,True,0.0,possivelmente_cortado
47,1140,522,24,39,0.9237836599349976,"[43, 28, 3]","[28, 28]",uint8,0,255,72.59566326530613,?,0.23543721437454224,True,True,0.0,possivelmente_cortado
48,1147,567,12,39,0.8527863025665283,"[43, 16, 3]","[28, 28]",uint8,0,255,32.795918367346935,に,0.9323993921279907,False,True,0.0,possivelmente_cortado
49,1143,611,23,46,0.8316298723220825,"[50, 27, 3]","[28, 28]",uint8,0,255,40.69897959183673,も,0.9994679093360901,False,True,0.0,possivelmente_cortado
50,1137,668,32,35,0.9021965265274048,"[39, 36, 3]","[28, 28]",uint8,0,255,80.48469387755102,お,0.9836545586585999,False,True,0.011320754716981131,possivelmente_cortado
51,1140,702,21,36,0.6293586492538452,"[40, 25, 3]","[28, 28]",uint8,0,255,46.99107142857143,?,0.4081480801105499,True,True,0.0,possivelmente_cortado
52,1134,764,44,31,0.9301275014877319,"[35, 48, 3]","[28, 28]",uint8,0,255,60.69897959183673,に,0.8749215006828308,False,True,0.0,possivelmente_cortado
53,1132,809,40,35,0.9123899340629578,"[39, 44, 3]","[28, 28]",uint8,0,255,57.974489795918366,に,0.9715631008148193,False,True,0.0,possivelmente_cortado
54,1147,852,16,45,0.8558637499809265,"[49, 20, 3]","[28, 28]",uint8,0,255,39.764030612244895,も,0.9301115274429321,False,True,0.0,possivelmente_cortado
55,1071,190,35,34,0.9226253032684326,"[38, 39, 3]","[28, 28]",uint8,0,255,91.06377551020408,お,0.9779376983642578,False,True,0.0,possivelmente_cortado
56,1070,232,36,47,0.9409034848213196,"[51, 40, 3]","[28, 28]",uint8,0,255,65.51275510204081,れ,0.6806219816207886,False,True,0.0,possivelmente_cortado
57,1072,286,38,32,0.8072476983070374,"[36, 42, 3]","[28, 28]",uint8,0,255,52.19515306122449,い,0.8035643696784973,False,True,0.0,possivelmente_cortado
58,1082,324,25,49,0.8282884955406189,"[53, 29, 3]","[28, 28]",uint8,0,255,35.588010204081634,た,0.9994993209838867,False,True,0.0,possivelmente_cortado
59,1081,375,20,19,0.7381570339202881,"[23, 24, 3]","[28, 28]",uint8,0,255,47.55994897959184,は,0.7577655911445618,False,True,0.00823045267489712,possivelmente_cortado
60,1088,393,8,75,0.5773378610610962,"[79, 12, 3]","[28, 28]",uint8,0,255,17.221938775510203,し,0.999695897102356,False,True,0.0,possivelmente_cortado
61,1084,473,22,40,0.9130473732948303,"[44, 26, 3]","[28, 28]",uint8,0,255,47.97576530612245,も,0.9250672459602356,False,True,0.0,possivelmente_cortado
62,1076,522,35,39,0.9229957461357117,"[43, 39, 3]","[28, 28]",uint8,0,255,89.28443877551021,?,0.4743908643722534,True,True,0.0,possivelmente_cortado
63,1070,569,41,37,0.911331295967102,"[41, 45, 3]","[28, 28]",uint8,0,255,57.952806122448976,ふ,0.9993845224380493,False,True,0.0,possivelmente_cortado
64,1075,618,34,39,0.9287065863609314,"[43, 38, 3]","[28, 28]",uint8,0,255,84.66581632653062,?,0.19046330451965332,True,True,0.0,possivelmente_cortado
65,1079,664,35,44,0.9041056036949158,"[48, 39, 3]","[28, 28]",uint8,0,255,48.08290816326531,?,0.21410317718982697,True,True,0.0,possivelmente_cortado
66,1075,710,34,46,0.9192801713943481,"[50, 38, 3]","[28, 28]",uint8,0,255,50.89540816326531,ま,0.5454864501953125,False,True,0.0,possivelmente_cortado
67,1080,759,29,38,0.905840277671814,"[42, 33, 3]","[28, 28]",uint8,0,255,77.10969387755102,?,0.3887024223804474,True,True,0.0,possivelmente_cortado
68,1084,807,21,90,0.8792194128036499,"[94, 25, 3]","[28, 28]",uint8,0,255,21.586734693877553,く,0.9089829325675964,False,True,0.0,possivelmente_cortado
69,1019,191,28,38,0.9221797585487366,"[42, 32, 3]","[28, 28]",uint8,0,255,64.05484693877551,?,0.47247251868247986,True,True,0.0,possivelmente_cortado
70,1021,237,25,42,0.8819018602371216,"[46, 29, 3]","[28, 28]",uint8,0,255,40.755102040816325,?,0.4230959713459015,True,True,0.0,possivelmente_cortado
71,1024,283,15,36,0.8136658668518066,"[40, 19, 3]","[28, 28]",uint8,0,255,35.31505102040816,た,0.9954602122306824,False,True,0.0,possivelmente_cortado
72,1014,326,35,39,0.8806442618370056,"[43, 39, 3]","[28, 28]",uint8,0,255,69.39030612244898,?,0.4763570725917816,True,True,0.0,possivelmente_cortado
73,1013,379,38,39,0.9240044951438904,"[43, 42, 3]","[28, 28]",uint8,0,255,104.8813775510204,?,0.21616095304489136,True,True,0.0,possivelmente_cortado
74,1018,425,34,43,0.9188151955604553,"[47, 38, 3]","[28, 28]",uint8,0,255,56.294642857142854,そ,0.6435915231704712,False,True,0.0,possivelmente_cortado
75,1021,473,21,23,0.8346192836761475,"[27, 25, 3]","[28, 28]",uint8,0,255,74.00765306122449,と,0.8620606660842896,False,True,0.01643192488262911,possivelmente_cortado
76,1019,495,34,24,0.8757898807525635,"[28, 38, 3]","[28, 28]",uint8,0,255,56.400510204081634,ん,0.9186419248580933,False,True,0.0,possivelmente_cortado
77,1017,522,31,40,0.9306433796882629,"[44, 35, 3]","[28, 28]",uint8,0,255,65.44515306122449,?,0.24722769856452942,True,True,0.0,possivelmente_cortado
78,1018,568,27,48,0.8492318987846375,"[52, 31, 3]","[28, 28]",uint8,0,255,53.191326530612244,も,0.977530300617218,False,True,0.0,possivelmente_cortado
79,1030,621,14,36,0.5074724555015564,"[40, 18, 3]","[28, 28]",uint8,0,255,36.764030612244895,る,0.9997186064720154,False,True,0.0,possivelmente_cortado
80,1013,667,38,35,0.9396222233772278,"[39, 42, 3]","[28, 28]",uint8,0,255,59.378826530612244,に,0.9935345649719238,False,True,0.0,possivelmente_cortado
81,1029,712,12,33,0.7508979439735413,"[37, 16, 3]","[28, 28]",uint8,0,255,35.26147959183673,よ,0.9999439716339111,False,True,0.0,possivelmente_cortado
82,1026,749,16,41,0.6518929600715637,"[45, 20, 3]","[28, 28]",uint8,0,255,42.794642857142854,る,0.6892099380493164,False,True,0.0,possivelmente_cortado
83,1013,862,44,25,0.7835628986358643,"[29, 48, 3]","[28, 28]",uint8,0,255,58.38647959183673,や,0.6730086803436279,False,True,0.0,possivelmente_cortado
84,958,182,21,20,0.7207731008529663,"[24, 25, 3]","[28, 28]",uint8,0,255,66.6670918367347,も,0.8468771576881409,False,True,0.0,possivelmente_cortado
85,964,205,10,31,0.7232442498207092,"[35, 14, 3]","[28, 28]",uint8,0,255,31.761479591836736,ら,0.9866069555282593,False,True,0.0,possivelmente_cortado
86,951,237,34,42,0.9046177268028259,"[46, 38, 3]","[28, 28]",uint8,0,255,75.43239795918367,れ,0.8072684407234192,False,True,0.0,possivelmente_cortado
87,955,293,30,16,0.9085131287574768,"[20, 34, 3]","[28, 28]",uint8,0,255,33.202806122448976,は,0.9982781410217285,False,True,0.0,possivelmente_cortado
88,955,329,36,40,0.9299096465110779,"[44, 40, 3]","[28, 28]",uint8,0,255,79.71301020408163,?,0.283315509557724,True,True,0.0,possivelmente_cortado
89,960,377,26,40,0.9211016297340393,"[44, 30, 3]","[28, 28]",uint8,0,255,58.78954081632653,さ,0.5546773076057434,False,True,0.0,possivelmente_cortado
90,954,429,33,34,0.9160367250442505,"[38, 37, 3]","[28, 28]",uint8,0,255,84.2079081632653,?,0.28546154499053955,True,True,0.0,possivelmente_cortado
91,968,477,17,33,0.8702730536460876,"[37, 21, 3]","[28, 28]",uint8,0,255,44.183673469387756,る,0.9999973773956299,False,True,0.0,possivelmente_cortado
92,955,520,34,44,0.9262712597846985,"[48, 38, 3]","[28, 28]",uint8,0,255,68.01020408163265,さ,0.679434061050415,False,True,0.0,possivelmente_cortado
93,959,580,27,18,0.8624382019042969,"[22, 31, 3]","[28, 28]",uint8,0,255,48.183673469387756,は,0.999967098236084,False,True,0.0,possivelmente_cortado
94,955,614,36,20,0.5019270777702332,"[24, 40, 3]","[28, 28]",uint8,0,255,47.06505102040816,?,0.30739447474479675,True,True,0.0,possivelmente_cortado
95,962,669,20,33,0.9247462153434753,"[37, 24, 3]","[28, 28]",uint8,0,255,57.77168367346939,ま,0.9997785687446594,False,True,0.0,possivelmente_cortado
96,962,711,24,45,0.9098270535469055,"[49, 28, 3]","[28, 28]",uint8,0,255,57.86734693877551,れ,0.988695502281189,False,True,0.0,possivelmente_cortado
97,960,764,31,30,0.9413442015647888,"[34, 35, 3]","[28, 28]",uint8,0,255,86.44642857142857,に,0.9600372910499573,False,True,0.0,possivelmente_cortado
98,962,809,24,84,0.9011440873146057,"[88, 28, 3]","[28, 28]",uint8,0,255,30.679846938775512,?,0.4439254105091095,True,True,0.0,possivelmente_cortado
99,906,184,11,38,0.7854876518249512,"[42, 15, 3]","[28, 28]",uint8,0,255,33.598214285714285,に,0.9979506134986877,False,True,0.0,possivelmente_cortado
100,895,228,31,49,0.8900098204612732,"[53, 35, 3]","[28, 28]",uint8,0,255,41.64795918367347,?,0.259206622838974,True,True,0.0,possivelmente_cortado
101,894,279,37,44,0.9325566291809082,"[48, 41, 3]","[28, 28]",uint8,0,255,87.96556122448979,や,0.8123644590377808,False,True,0.0,possivelmente_cortado
102,900,328,26,43,0.9187412261962891,"[47, 30, 3]","[28, 28]",uint8,0,255,47.441326530612244,も,0.748681902885437,False,True,0.0,possivelmente_cortado
103,901,413,23,55,0.9166767597198486,"[59, 27, 3]","[28, 28]",uint8,0,255,47.713010204081634,き,0.9994587302207947,False,True,0.0,possivelmente_cortado
104,899,472,28,41,0.9155224561691284,"[45, 32, 3]","[28, 28]",uint8,0,255,58.75892857142857,れ,0.5183255076408386,False,True,0.0,possivelmente_cortado
105,894,569,37,41,0.9104640483856201,"[45, 41, 3]","[28, 28]",uint8,0,255,81.04974489795919,?,0.2054576426744461,True,True,0.0,possivelmente_cortado
106,908,618,13,36,0.9017568230628967,"[40, 17, 3]","[28, 28]",uint8,0,255,33.19005102040816,に,0.9977176189422607,False,True,0.0,possivelmente_cortado
107,902,662,21,27,0.7695896029472351,"[31, 25, 3]","[28, 28]",uint8,0,255,60.4094387755102,か,0.9320230484008789,False,True,0.0,possivelmente_cortado
108,907,721,15,32,0.8265402317047119,"[36, 19, 3]","[28, 28]",uint8,0,255,40.23979591836735,る,0.9997894167900085,False,True,0.0,possivelmente_cortado
109,894,759,38,37,0.9273203015327454,"[41, 42, 3]","[28, 28]",uint8,0,255,74.50127551020408,?,0.4757268726825714,True,True,0.0,possivelmente_cortado
110,890,807,46,41,0.9146803021430969,"[45, 50, 3]","[28, 28]",uint8,0,255,70.17091836734694,?,0.2406584620475769,True,True,0.0,possivelmente_cortado
111,907,857,15,40,0.7588419914245605,"[44, 19, 3]","[28, 28]",uint8,0,255,36.786989795918366,か,0.9963990449905396,False,True,0.0,possivelmente_cortado
112,834,182,33,48,0.9295554757118225,"[52, 37, 3]","[28, 28]",uint8,0,255,59.46811224489796,?,0.17460912466049194,True,True,0.0,possivelmente_cortado
113,834,234,35,42,0.9265398383140564,"[46, 39, 3]","[28, 28]",uint8,0,255,76.77551020408163,?,0.25362837314605713,True,True,0.0,possivelmente_cortado
114,834,283,28,41,0.8216553926467896,"[45, 32, 3]","[28, 28]",uint8,0,255,40.21811224489796,て,0.6239588856697083,False,True,0.0,possivelmente_cortado
115,830,327,42,40,0.9327502250671387,"[44, 46, 3]","[28, 28]",uint8,0,255,56.12372448979592,ふ,0.9999551773071289,False,True,0.0,possivelmente_cortado
116,836,381,29,33,0.9161838889122009,"[37, 33, 3]","[28, 28]",uint8,0,255,61.88137755102041,を,0.9506535530090332,False,True,0.0,possivelmente_cortado
117,837,429,32,33,0.91184002161026,"[37, 36, 3]","[28, 28]",uint8,0,255,82.54719387755102,に,0.9975461363792419,False,True,0.0,possivelmente_cortado
118,832,472,38,45,0.9299840927124023,"[49, 42, 3]","[28, 28]",uint8,0,255,76.9859693877551,を,0.5507910847663879,False,True,0.0,possivelmente_cortado
119,838,524,27,34,0.816031813621521,"[38, 31, 3]","[28, 28]",uint8,0,255,56.81887755102041,し,0.9949040412902832,False,True,0.0,possivelmente_cortado
120,846,561,11,50,0.5837377309799194,"[54, 15, 3]","[28, 28]",uint8,0,255,22.9859693877551,ら,0.9944895505905151,False,True,0.0,possivelmente_cortado
121,839,613,33,49,0.8578010201454163,"[53, 37, 3]","[28, 28]",uint8,0,255,55.94005102040816,ひ,0.8800294399261475,False,True,0.0,possivelmente_cortado
122,840,721,27,36,0.8940120339393616,"[40, 31, 3]","[28, 28]",uint8,0,255,41.54974489795919,て,0.6074996590614319,False,True,0.0,possivelmente_cortado
123,833,764,40,35,0.9303145408630371,"[39, 44, 3]","[28, 28]",uint8,0,255,60.875,い,0.9952502250671387,False,True,0.0,possivelmente_cortado
124,849,812,13,39,0.7822026610374451,"[43, 17, 3]","[28, 28]",uint8,0,255,34.253826530612244,と,0.9944707155227661,False,True,0.0,possivelmente_cortado
125,837,856,37,43,0.9094999432563782,"[47, 41, 3]","[28, 28]",uint8,0,255,70.55867346938776,け,0.7890612483024597,False,True,0.0,possivelmente_cortado
126,744,179,26,51,0.916750967502594,"[55, 30, 3]","[28, 28]",uint8,0,255,47.66326530612245,も,0.7754474878311157,False,True,0.0,possivelmente_cortado
127,744,233,31,41,0.8694536685943604,"[45, 35, 3]","[28, 28]",uint8,0,255,52.90433673469388,?,0.2843305468559265,True,True,0.0,possivelmente_cortado
128,741,279,28,40,0.9328146576881409,"[44, 32, 3]","[28, 28]",uint8,0,255,55.71683673469388,?,0.2410384863615036,True,True,0.0,possivelmente_cortado
129,734,325,34,42,0.9328144192695618,"[46, 38, 3]","[28, 28]",uint8,0,255,74.8265306122449,?,0.33371248841285706,True,True,0.0,possivelmente_cortado
130,743,372,15,45,0.9147078990936279,"[49, 19, 3]","[28, 28]",uint8,0,255,32.35586734693877,う,0.9591732621192932,False,True,0.0,possivelmente_cortado
131,732,427,35,30,0.9439312219619751,"[34, 39, 3]","[28, 28]",uint8,0,255,72.93367346938776,の,0.9999963045120239,False,True,0.0,possivelmente_cortado
132,728,467,42,41,0.9395061731338501,"[45, 46, 3]","[28, 28]",uint8,0,255,89.48086734693878,?,0.35147354006767273,True,True,0.0,possivelmente_cortado
133,732,517,28,41,0.9318169951438904,"[45, 32, 3]","[28, 28]",uint8,0,255,79.34821428571429,?,0.41739213466644287,True,True,0.0,possivelmente_cortado
134,740,569,15,33,0.9211539030075073,"[37, 19, 3]","[28, 28]",uint8,0,255,46.07397959183673,に,0.9483090043067932,False,True,0.0,possivelmente_cortado
135,730,613,31,38,0.9360901713371277,"[42, 35, 3]","[28, 28]",uint8,0,255,66.77806122448979,す,0.8963863253593445,False,True,0.0,possivelmente_cortado
136,727,663,41,39,0.9448553323745728,"[43, 45, 3]","[28, 28]",uint8,0,255,68.6313775510204,ひ,0.9929057359695435,False,True,0.0,possivelmente_cortado
137,730,705,35,43,0.9345117211341858,"[47, 39, 3]","[28, 28]",uint8,0,255,75.19132653061224,つ,0.95730060338974,False,True,0.0,possivelmente_cortado
138,737,751,22,46,0.8556702136993408,"[50, 26, 3]","[28, 28]",uint8,0,255,43.79081632653061,き,0.9987834095954895,False,True,0.0,possivelmente_cortado
139,742,801,18,25,0.8017748594284058,"[29, 22, 3]","[28, 28]",uint8,0,255,64.94515306122449,?,0.2179362177848816,True,True,0.0,possivelmente_cortado
140,674,181,43,38,0.93841153383255,"[42, 47, 3]","[28, 28]",uint8,0,255,56.170918367346935,ふ,0.7381744384765625,False,True,0.0,possivelmente_cortado
141,681,229,28,35,0.9276159405708313,"[39, 32, 3]","[28, 28]",uint8,0,255,56.10586734693877,を,0.9311893582344055,False,True,0.0,possivelmente_cortado
142,688,277,16,35,0.8985152244567871,"[39, 20, 3]","[28, 28]",uint8,0,255,42.224489795918366,る,0.9999890327453613,False,True,0.0,possivelmente_cortado
143,677,326,33,41,0.829770565032959,"[45, 37, 3]","[28, 28]",uint8,0,255,72.2359693877551,す,0.587098240852356,False,True,0.0,possivelmente_cortado
144,689,368,11,25,0.5931344628334045,"[29, 15, 3]","[28, 28]",uint8,0,255,43.88265306122449,ら,0.5542512536048889,False,True,0.0,possivelmente_cortado
145,675,424,29,38,0.722737193107605,"[42, 33, 3]","[28, 28]",uint8,0,255,57.18877551020408,も,0.9999411106109619,False,True,0.0,possivelmente_cortado
146,675,465,25,44,0.85286545753479,"[48, 29, 3]","[28, 28]",uint8,0,255,59.59311224489796,?,0.24221102893352509,True,True,0.0,possivelmente_cortado
147,677,516,19,36,0.815034806728363,"[40, 23, 3]","[28, 28]",uint8,0,255,42.838010204081634,け,0.9757570624351501,False,True,0.0,possivelmente_cortado
148,680,557,17,45,0.862594723701477,"[49, 21, 3]","[28, 28]",uint8,0,255,33.88392857142857,も,0.6954371929168701,False,True,0.0,possivelmente_cortado
149,665,611,39,41,0.9287126064300537,"[45, 43, 3]","[28, 28]",uint8,0,255,55.75892857142857,け,0.6289950013160706,False,True,0.0,possivelmente_cortado
150,666,657,40,45,0.9301778674125671,"[49, 44, 3]","[28, 28]",uint8,0,255,63.67602040816327,?,0.21895313262939453,True,True,0.0,possivelmente_cortado
151,670,704,24,45,0.9199328422546387,"[49, 28, 3]","[28, 28]",uint8,0,255,52.109693877551024,き,0.8607234954833984,False,True,0.0,possivelmente_cortado
152,679,757,12,35,0.8527628779411316,"[39, 16, 3]","[28, 28]",uint8,0,255,39.33290816326531,に,0.9999192953109741,False,True,0.0,possivelmente_cortado
153,663,802,38,41,0.9323713779449463,"[45, 42, 3]","[28, 28]",uint8,0,255,89.18877551020408,?,0.3065416216850281,True,True,0.0,possivelmente_cortado
154,662,849,39,45,0.9285750985145569,"[49, 43, 3]","[28, 28]",uint8,0,255,73.30102040816327,?,0.33057382702827454,True,True,0.0,possivelmente_cortado
155,620,176,35,46,0.9257365465164185,"[50, 39, 3]","[28, 28]",uint8,0,255,66.62117346938776,け,0.6129592061042786,False,True,0.0,possivelmente_cortado
156,623,224,27,43,0.9389609098434448,"[47, 31, 3]","[28, 28]",uint8,0,255,49.77423469387755,か,0.5308017134666443,False,True,0.0,possivelmente_cortado
157,620,280,35,45,0.7851384878158569,"[49, 39, 3]","[28, 28]",uint8,0,255,59.139030612244895,も,0.6681227087974548,False,True,0.0,possivelmente_cortado
158,616,367,35,26,0.8322461247444153,"[30, 39, 3]","[28, 28]",uint8,0,255,61.86224489795919,い,0.9870915412902832,False,True,0.0,possivelmente_cortado
159,607,399,45,60,0.5980422496795654,"[64, 49, 3]","[28, 28]",uint8,0,255,41.19515306122449,ふ,0.9997583031654358,False,True,0.0,possivelmente_cortado
160,607,465,44,44,0.9373274445533752,"[48, 48, 3]","[28, 28]",uint8,0,255,48.85459183673469,く,0.501678466796875,False,True,0.0,possivelmente_cortado
161,609,511,40,36,0.9197877645492554,"[40, 44, 3]","[28, 28]",uint8,0,255,73.77295918367346,か,0.6590113639831543,False,True,0.0,possivelmente_cortado
162,622,549,11,52,0.8487184047698975,"[56, 15, 3]","[28, 28]",uint8,0,255,22.950255102040817,?,0.42064473032951355,True,True,0.0,possivelmente_cortado
163,606,705,38,45,0.9260281920433044,"[49, 42, 3]","[28, 28]",uint8,0,255,87.62244897959184,ほ,0.5549595952033997,False,True,0.0,possivelmente_cortado
164,622,756,18,35,0.9011146426200867,"[39, 22, 3]","[28, 28]",uint8,0,255,35.625,?,0.34461864829063416,True,True,0.0,possivelmente_cortado
165,602,838,35,52,0.84745192527771,"[56, 39, 3]","[28, 28]",uint8,0,255,50.80484693877551,れ,0.7777025699615479,False,True,0.0,possivelmente_cortado
166,562,176,27,40,0.8763634562492371,"[44, 31, 3]","[28, 28]",uint8,0,255,52.51275510204081,し,0.6897139549255371,False,True,0.0,possivelmente_cortado
167,559,274,33,45,0.8128536343574524,"[49, 37, 3]","[28, 28]",uint8,0,255,54.04336734693877,ひ,0.8700814247131348,False,True,0.0,possivelmente_cortado
